timestamp,vehicle_id,vehicle_class,start_point,end_point,duration
1/21/2025 16:44,1594,person,E,A,3.291587
1/21/2025 16:44,1596,person,E,A,2.749908
1/21/2025 16:44,1603,person,E,A,25.323747
1/21/2025 16:44,1611,person,A,E,12.961943
1/21/2025 16:44,1619,person,D,B,16.018485
1/21/2025 16:44,1622,Two Wheeler,F,D,3.506519
1/21/2025 16:44,1624,person,F,D,3.171814
1/21/2025 16:44,1625,Two Wheeler,F,D,4.832389
1/21/2025 16:44,1626,person,F,D,4.665457
1/21/2025 16:44,1644,Two Wheeler,F,D,4.886529
1/21/2025 16:44,1646,person,F,D,4.491489
1/21/2025 16:44,1649,Two Wheeler,F,D,5.001574
1/21/2025 16:44,1652,person,F,D,5.733529
1/21/2025 16:44,1653,Car,F,D,4.839529
1/21/2025 16:44,1659,Two Wheeler,F,D,3.866074
1/21/2025 16:44,1661,Two Wheeler,F,D,4.881377
1/21/2025 16:44,1662,person,F,D,4.545491
1/21/2025 16:44,1669,person,F,E,2.052571
1/21/2025 16:44,1677,Car,F,D,6.731242
1/21/2025 16:44,1692,Two Wheeler,F,D,4.921587
1/21/2025 16:44,1698,person,F,D,4.693094
1/21/2025 16:44,1700,person,F,D,4.694514
1/21/2025 16:44,1724,Two Wheeler,F,D,4.298194
1/21/2025 16:44,1730,person,F,D,3.955547
1/21/2025 16:44,1734,Truck,F,D,7.0584
1/21/2025 16:44,1732,Car,F,D,5.799513
1/21/2025 16:44,1747,Two Wheeler,F,D,4.500648
1/21/2025 16:44,1750,person,F,D,2.496437
1/21/2025 16:44,1759,Two Wheeler,F,D,3.923983
1/21/2025 16:44,1764,person,F,D,4.144304
1/21/2025 16:44,1771,Bus,F,D,7.542406
1/21/2025 16:44,1797,Two Wheeler,F,A,3.741635
1/21/2025 16:44,1801,person,F,A,2.280799
1/21/2025 16:44,1806,Bus,B,D,16.605593
1/21/2025 16:44,1809,Car,F,D,5.134418
1/21/2025 16:44,1826,person,B,F,11.768746
1/21/2025 16:44,1816,Truck,F,D,5.526212
1/21/2025 16:44,1836,Two Wheeler,F,D,3.456754
1/21/2025 16:44,1852,person,F,D,3.456754
1/21/2025 16:44,1880,Two Wheeler,F,D,3.913074
1/21/2025 16:44,1884,person,F,D,4.416586
1/21/2025 16:44,1900,person,F,D,4.473707
1/21/2025 16:44,1910,Two Wheeler,F,D,4.747851
1/21/2025 16:44,1914,Two Wheeler,F,D,4.613307
1/21/2025 16:44,1916,person,F,D,4.772068
1/21/2025 16:44,1932,Two Wheeler,F,D,4.390576
1/21/2025 16:44,1933,person,F,D,4.165209
1/21/2025 16:44,1960,person,F,D,2.340066
1/21/2025 16:44,1970,person,F,D,2.620337
1/21/2025 16:44,2043,Two Wheeler,F,D,2.600245
1/21/2025 16:44,2047,Bus,F,D,5.565623
1/21/2025 16:44,2075,person,E,A,4.687901
1/21/2025 16:44,2084,person,E,A,5.35544
1/21/2025 16:44,2086,Car,E,A,5.877844
1/21/2025 16:44,2093,person,E,A,4.033203
1/21/2025 16:44,2103,Two Wheeler,E,A,4.275602
1/21/2025 16:44,2096,person,E,A,5.024358
1/21/2025 16:44,2116,person,E,A,3.873229
1/21/2025 16:44,2118,person,E,A,5.812776
1/21/2025 16:44,2122,Two Wheeler,E,A,6.156069
1/21/2025 16:44,2121,Two Wheeler,D,A,3.764189
1/21/2025 16:44,2156,Two Wheeler,E,A,4.669412
1/21/2025 16:44,2163,person,E,A,4.671654
1/21/2025 16:44,2166,person,E,A,2.672047
1/21/2025 16:44,2184,Two Wheeler,E,A,7.044078
1/21/2025 16:44,2190,Two Wheeler,E,A,5.046134
1/21/2025 16:44,2189,person,E,A,4.707372
1/21/2025 16:44,2202,Car,E,A,8.175801
1/21/2025 16:44,2238,person,E,A,5.426968
1/21/2025 16:44,2265,Car,E,A,7.481118
1/21/2025 16:44,2277,Car,E,A,6.629427
1/21/2025 16:44,2278,Car,E,A,7.82436
1/21/2025 16:44,2279,person,F,B,30.058135
1/21/2025 16:44,2291,Two Wheeler,E,A,4.146097
1/21/2025 16:44,2334,Two Wheeler,B,D,6.949725
1/21/2025 16:44,2338,person,E,A,3.612412
1/21/2025 16:44,2341,person,E,A,5.377904
1/21/2025 16:44,2358,Two Wheeler,E,A,5.823314
1/21/2025 16:44,2377,Car,E,A,6.451028
1/21/2025 16:44,2380,Car,B,D,7.642217
1/21/2025 16:44,2405,person,D,A,39.044288
1/21/2025 16:44,2418,person,E,A,1.79308
1/21/2025 16:44,2419,Two Wheeler,E,A,2.913984
1/21/2025 16:44,2423,person,E,A,2.912545
1/21/2025 16:44,2425,person,E,A,2.415491
1/21/2025 16:44,2431,person,B,A,32.929261
1/21/2025 16:44,2436,Truck,B,D,5.502516
1/21/2025 16:44,2519,Two Wheeler,F,A,7.079389
1/21/2025 16:44,2527,Car,A,B,10.106911
1/21/2025 16:44,2554,Truck,F,D,9.875998
1/21/2025 16:44,2602,Two Wheeler,F,D,4.041294
1/21/2025 16:44,2604,person,F,D,4.390882
1/21/2025 16:44,2611,Two Wheeler,F,D,5.347823
1/21/2025 16:44,2618,person,F,D,4.889929
1/21/2025 16:44,2620,Two Wheeler,F,D,5.589055
1/21/2025 16:44,2632,person,F,D,5.117919
1/21/2025 16:44,2654,Two Wheeler,F,D,4.781836
1/21/2025 16:44,2657,person,F,D,4.60258
1/21/2025 16:44,2629,person,B,D,3.189295
1/21/2025 16:44,2642,Bus,F,D,9.110454
1/21/2025 16:44,2692,Unknown,D,E,0.58642
1/21/2025 16:44,2678,Two Wheeler,F,D,3.970372
1/21/2025 16:44,2686,person,F,D,4.782307
1/21/2025 16:44,2702,person,F,D,4.368702
1/21/2025 16:44,2709,Two Wheeler,F,D,4.652492
1/21/2025 16:44,2747,Two Wheeler,F,A,5.097011
1/21/2025 16:44,2750,person,F,A,4.080455
1/21/2025 16:44,2751,person,F,D,3.786465
1/21/2025 16:44,2738,Car,F,D,6.058714
